siteId,ProductId
RH,prod9740156
RH,prod6452355
RH,prod6511682
RH,prod1214115
RH,prod6490278
RH,prod6490263
RH,prod1596003
RH,prod2020027
RH,prod9740015
RH,prod1159311
RH,prod20240042
RH,prod20250031
RH,prod11830032
RH,prod20240025
RH,prod1159290
RH,prod11230040
RH,prod14890228
RH,prod13650091
RH,prod15970044
RH,prod18890270
RH,prod190091
RH,prod1606015
RH,prod7030019
RH,prod1158640
RH,prod1159401
RH,prod17310059
RH,prod22040017
RH,prod26350167
RH,prod24510151
RH,prod24510156
RH,prod24881044
RH,prod25090471
RH,prod1158634
RH,prod1248037
RH,prod12740432
RH,prod5700052
RH,prod7411002
RH,prod17400317
RH,prod9740013
RH,prod6371044
RH,prod24510154
RH,prod18890297
RH,prod2890089
RH,prod1860791
RH,prod25150336
RH,prod2701336
RH,prod6500198
RH,prod21090043
RH,prod2480773
RH,prod12440070
RH,prod9300244
RH,prod26350179
RH,prod9300196
RH,prod1643001
RH,prod6660062
RH,prod7820650
RH,prod2820225
RH,prod19250182
RH,prod17590058
TN,rhtn_prod107144
RH,prod6470111
RH,prod11830030
RH,prod22450056
RH,prod12910003
RH,prod8760143
RH,prod15180034
RH,prod7571022
RH,prod1159391
RH,prod20360996
RH,prod9290017
RH,prod20810165
RH,prod18130144
RH,prod19030095
RH,prod18340514
RH,prod7410999
RH,prod14920059
RH,prod9190127
RH,prod1159089
RH,prod17940052
RH,prod17190015
RH,prod6450191
RH,prod1617246
RH,prod12740427
RH,prod17400316
RH,prod2480706
RH,prod6450509
RH,prod12270006
RH,prod24510155
RH,prod15980099
RH,prod19220054
RH,prod14890128
RH,prod10730039
RH,prod7571036
RH,prod10330200
RH,prod2260004
RH,prod2320313
RH,prod14890127
RH,prod1283107
RH,prod190018
RH,prod10810111
RH,prod25310135
RH,prod18890290
BC,rhbc_prod962396
RH,prod7411004
RH,prod13360574
RH,prod1643003
RH,prod9740017
RH,prod26210418
RH,prod26350238
RH,prod1870612
TN,rhtn_prod104197
RH,prod12270007
RH,prod18890271
RH,prod18890291
RH,prod6470114
RH,prod11190017
RH,prod1293029
BC,rhbc_prod960400
RH,prod6371042
RH,prod5890015
RH,prod7060157
RH,prod2511257
RH,prod18890298
RH,prod25380196
RH,prod14890048
RH,prod10770021
RH,prod9240009
MO,prod10810133
RH,prod27490092
RH,prod19220131
RH,prod25310136
RH,prod25160051
RH,prod6490271
RH,prod3250241
RH,prod20480291
RH,prod20770012
RH,prod13330103
RH,prod24920128
RH,prod17400331
RH,prod1161360
BC,rhbc_prod482278
RH,prod8760142
RH,prod8780018
RH,prod1140003
RH,prod17450478
RH,prod2890090
BC,rhbc_prod261003
RH,prod690592
RH,prod20240041
RH,prod13330146
RH,prod12230007
RH,prod20810192
RH,prod15970043
RH,prod1617174
RH,prod7120087
RH,prod8780316
RH,prod6451490
RH,prod2500669
RH,prod17550086
RH,prod17660287
RH,prod13330144
RH,prod15180036
RH,prod17460670
RH,prod25310131
RH,prod8760159
RH,prod8760166
RH,prod10550017
RH,prod15980102
RH,prod18890296
RH,prod17460662
RH,prod17310060
RH,prod22300412
RH,prod1293031
RH,prod6490275
RH,prod16640054
RH,prod2701464
RH,prod18130155
RH,prod6470115
RH,prod16920110
RH,prod9260110
RH,prod13391446
RH,prod2400091
RH,prod14450078
RH,prod12640167
RH,prod2701997
RH,prod17450517
RH,prod20810025
RH,prod17450477
RH,prod2590010
RH,prod8760158
RH,prod16260030
RH,prod25080025
RH,prod14920044
RH,prod17660013
RH,prod13350014
RH,prod26350248
RH,prod25120620
RH,prod9300268
RH,prod8850001
RH,prod18860173
RH,prod24920115
RH,prod21350027
RH,prod17340140
RH,prod6371043
RH,prod23530365
RH,prod27940139
RH,prod24880425
RH,prod1871162
RH,prod18860237
RH,prod27380009
RH,prod1169001
RH,prod1679281
RH,prod20850151
RH,prod13070002
RH,prod18900022
RH,prod9810159
RH,prod17450476
RH,prod1619124
RH,prod12740428
RH,prod16790011
RH,prod18860231
RH,prod27210510
RH,prod17940053
BC,rhbc_prod498038
RH,prod17310064
RH,prod10810130
RH,prod18510102
RH,prod14900088
RH,prod26350074
RH,prod10740058
RH,prod27080291
RH,prod14340051
RH,prod25310132
RH,prod14970086
RH,prod23320188
RH,prod16030106
RH,prod25920044
RH,prod1553006
RH,prod13160116
RH,prod14890049
RH,prod10810131
RH,prod14920062
RH,prod25150389
RH,prod9300306
RH,prod14770001
RH,prod6451487
RH,prod16920082
RH,prod12740435
RH,prod17590063
RH,prod12310139
RH,prod13070019
RH,prod22790131
RH,prod6740340
RH,prod17070023
RH,prod17430087
RH,prod7571021
RH,prod19120194
RH,prod22350067
RH,prod17340184
RH,prod17860053
RH,prod17400313
RH,prod14460104
RH,prod1357021
RH,prod6452359
RH,prod24920123
RH,prod1860442
RH,prod1679250
RH,prod18890295
RH,prod1860800
RH,prod17340182
RH,prod18890272
RH,prod25150334
RH,prod14900096
RH,prod9550043
RH,prod22180179
RH,prod20850118
RH,prod3150287
RH,prod1159056
RH,prod10810115
RH,prod19220014
RH,prod12440040
RH,prod14970394
RH,prod25420141
RH,prod7920259
RH,prod9770233
RH,prod27650011
RH,prod8780261
RH,prod17491058
RH,prod13650100
RH,prod2270002
RH,prod19220031
RH,prod24980164
RH,prod21090042
RH,prod25130203
RH,prod6451787
RH,prod24980166
RH,prod6470320
RH,prod280189
RH,prod8040524
RH,prod17430468
RH,prod19660300
RH,prod13360565
RH,prod7580611
RH,prod10720080
RH,prod25380185
RH,prod24870078
RH,prod17310116
RH,prod19150372
RH,prod10810133
RH,prod2111189
RH,prod10830047
RH,prod15980129
RH,prod8790421
RH,prod1871334
RH,prod17310085
RH,prod16700134
RH,prod17310090
RH,prod2702029
TN,rhtn_prod101712
RH,prod12640168
RH,prod18950552
RH,prod2530027
RH,prod12410009
RH,prod27340047
RH,prod7200203
RH,prod18510007
RH,prod2090053
RH,prod21940006
RH,prod27700299
RH,prod13371017
RH,prod7571047
RH,prod10780159
RH,prod13270090
RH,prod25570333
RH,prod20670299
RH,prod410001
RH,prod6490272
RH,prod8460470
RH,prod9420087
RH,prod9190147
RH,prod4640153
RH,prod2702026
RH,prod7571046
RH,prod18860108
RH,prod6500206
RH,prod3070209
RH,prod16200046
RH,prod2280017
RH,prod17400106
RH,prod2701991
RH,prod20850059
RH,prod10720106
RH,prod18220179
RH,prod18950704
RH,prod16920138
RH,prod25150335
RH,prod23960150
RH,prod23460065
RH,prod19550176
RH,prod7820657
RH,prod12310143
RH,prod26920270
RH,prod7590026
RH,prod19120195
RH,prod15950111
RH,prod17550104
RH,prod20810193
RH,prod12310137
RH,prod12740440
RH,prod18940254
RH,prod7120034
RH,prod27520350
RH,prod2460681
RH,prod17310111
RH,prod24980165
RH,prod15950258
RH,prod17450479
RH,prod25140289
RH,prod20240038
RH,prod28320036
RH,prod27700117
RH,prod20580100
RH,prod1152108
RH,prod19580017
RH,prod1870763
RH,prod18130145
RH,prod1617003
RH,prod25130192
RH,prod14880064
RH,prod17310045
RH,prod25380181
RH,prod26350180
RH,prod1159292
RH,prod14410357
RH,prod19610058
RH,prod7551901
RH,prod17740358
RH,prod6250012
RH,prod17380295
RH,prod26350239
RH,prod6450138
RH,prod8780231
RH,prod20670278
RH,prod18950262
RH,prod14880048
RH,prod15180035
RH,prod25910046
RH,prod12140060
RH,prod18060042
RH,prod20810029
RH,prod20810032
RH,prod25140354
RH,prod20520082
RH,prod27760157
RH,prod17210089
RH,prod1690131
RH,prod19030106
RH,prod14890014
RH,prod17450490
RH,prod17460668
RH,prod20480115
RH,prod27510220
RH,prod18890273
RH,prod20470838
RH,prod2110328
RH,prod19220137
RH,prod9300294
RH,prod1860478
RH,prod14920041
RH,prod20810157
RH,prod9290093
RH,prod19030061
RH,prod14160066
RH,prod1292192
RH,prod19100011
RH,prod25140353
RH,prod8550689
RH,prod20510185
RH,prod27070269
RH,prod14880045
RH,prod2480705
RH,prod17590061
RH,prod13630050
RH,prod7411020
RH,prod1616003
RH,prod17380382
RH,prod19030117
RH,prod17990633
RH,prod9290077
RH,prod17810178
RH,prod23530347
RH,prod17810187
RH,prod14880054
RH,prod22040025
RH,prod14890007
RH,prod360104
RH,prod24920126
RH,prod9240008
RH,prod20480299
RH,prod2350167
RH,prod26320006
RH,prod16870088
RH,prod19220181
RH,prod6790114
RH,prod6451491
RH,prod12310141
RH,prod6470112
RH,prod9300304
BC,rhbc_prod257000
RH,prod8480015
RH,prod1275099
RH,prod18940257
RH,prod20810024
RH,prod14890227
RH,prod15920011
RH,prod26920271
RH,prod20670281
RH,prod25160056
RH,prod4670041
RH,prod14890046
RH,prod13070164
RH,prod22790119
RH,prod6490277
RH,prod20480407
RH,prod1214123
RH,prod2510501
RH,prod6452360
RH,prod2420812
RH,prod18530145
RH,prod1283065
RH,prod14340056
RH,prod1511028
RH,prod12740436
RH,prod20480256
RH,prod17450481
RH,prod26350369
RH,prod2140453
RH,prod9970027
RH,prod11600090
RH,prod21890323
RH,prod20810030
RH,prod17660290
RH,prod13160118
RH,prod20800380
RH,prod1283123
RH,prod16030157
RH,prod6250008
RH,prod27520348
RH,prod20480292
RH,prod16830439
RH,prod14890010
RH,prod9770228
RH,prod26290022
